Date,Time,Min,Transaction,
20161030,9,58,1,
20161030,10,5,2,
20161030,10,5,2,
20161030,10,7,3,
20161030,10,7,3,
20161030,10,7,3,
20161030,10,8,4,
20161030,10,13,5,
20161030,10,13,5,
20161030,10,13,5,
20161030,10,16,6,
20161030,10,16,6,
20161030,10,16,6,
20161030,10,19,7,
20161030,10,19,7,
20161030,10,19,7,
20161030,10,19,7,
20161030,10,20,8,
20161030,10,20,8,
20161030,10,21,9,
20161030,10,21,9,
20161030,10,25,10,
20161030,10,25,10,
20161030,10,27,11,
20161030,10,27,11,
20161030,10,27,11,
20161030,10,27,11,
20161030,10,30,12,
20161030,10,30,12,
20161030,10,30,12,
20161030,10,30,12,
20161030,10,30,12,
20161030,10,31,13,
20161030,10,31,13,
20161030,10,31,13,
20161030,10,32,14,
20161030,10,32,14,
20161030,10,32,14,
20161030,10,34,15,
20161030,10,34,15,
20161030,10,34,15,
20161030,10,34,15,
20161030,10,37,16,
20161030,10,37,16,
20161030,10,37,16,
20161030,10,38,17,
20161030,10,41,18,
20161030,10,43,19,
20161030,10,43,19,
20161030,10,45,20,
20161030,10,45,20,
20161030,10,49,21,
20161030,10,49,21,
20161030,10,49,21,
20161030,10,49,21,
20161030,10,52,22,
20161030,10,53,23,
20161030,10,53,23,
20161030,10,54,24,
20161030,10,55,25,
20161030,10,56,26,
20161030,11,2,27,
20161030,11,3,28,
20161030,11,3,28,
20161030,11,5,29,
20161030,11,5,29,
20161030,11,5,29,
20161030,11,7,30,
20161030,11,12,31,
20161030,11,16,32,
20161030,11,16,32,
20161030,11,22,33,
20161030,11,25,34,
20161030,11,25,34,
20161030,11,27,35,
20161030,11,27,35,
20161030,11,33,36,
20161030,11,33,36,
20161030,11,37,37,
20161030,11,37,37,
20161030,11,37,37,
20161030,11,42,38,
20161030,11,42,38,
20161030,11,44,39,
20161030,11,55,40,
20161030,11,55,40,
20161030,11,55,40,
20161030,11,55,40,
20161030,11,55,40,
20161030,11,57,41,
20161030,11,57,42,
20161030,11,57,42,
20161030,12,0,43,
20161030,12,0,43,
20161030,12,5,44,
20161030,12,5,44,
20161030,12,8,45,
20161030,12,8,45,
20161030,12,8,45,
